idx,token,csv_score,csv_nc,csv_dac,csv_ep,csv_ttc,csv_comfort,ar_score,ar_nc,ar_dac,ar_ep,ar_ttc,ar_comfort,human_score,human_nc,human_dac,human_ep,bev_path,combined_path
0,d78ce77ffdf75554,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/bev/000_0.0000_d78ce77ffdf75554_bev.png,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/combined/000_0.0000_d78ce77ffdf75554_combined.png
1,476c5597de1b5455,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/bev/001_0.0000_476c5597de1b5455_bev.png,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/combined/001_0.0000_476c5597de1b5455_combined.png
2,864977c14b9754eb,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9500557974061602,1.0,1.0,0.8801339137747843,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/bev/002_0.0000_864977c14b9754eb_bev.png,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/combined/002_0.0000_864977c14b9754eb_combined.png
3,36c9f5ba92385cee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9228774756710253,1.0,1.0,0.8149059416104607,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/bev/003_0.0000_36c9f5ba92385cee_bev.png,/home/byounggun/DiffusionDrive/plots/ar_no_refine_worst4/combined/003_0.0000_36c9f5ba92385cee_combined.png
